Link,URL,Composer,Librettist,Genre,Year,Location,City,Region,Country
Shylock,http://operadata.stanford.edu/catalog/10117505,Wesley La Violette,Wesley La Violette,Operas,1930,"Chicago, Illinois, United States",Chicago,Illinois,United States
Sir John in Love,http://operadata.stanford.edu/catalog/10131805,Ralph Vaughan Williams,Ralph Vaughan Williams,Operas,1929,"London, Greater London, United Kingdom",London,Greater London,United Kingdom
Sly ovvero La leggenda del dormiente risvegliato,http://operadata.stanford.edu/catalog/10133143,Ermanno Wolf-Ferrari,Giovacchino Forzano,Operas,1927,"Milan, Lombardia, Italy",Milan,Lombardia,Italy
Il sogno di Titania,http://operadata.stanford.edu/catalog/10121361,Luca Mosca,Pilar Garcia,Operas,1982,"Milan, Lombardia, Italy",Milan,Lombardia,Italy
Sogno di una notte d'estate,http://operadata.stanford.edu/catalog/10119078,Luigi Mancinelli,Fausto Salvatori,Operas,1922,"Rome, Lazio, Italy",Rome,Lazio,Italy
Il sogno d'una notte d'estate,http://operadata.stanford.edu/catalog/10126868,Ugo Roti,Mario Olmi,Operas,1899,"Turin, Piemonte, Italy",Turin,Piemonte,Italy
Un songe d'une nuit d'été,http://operadata.stanford.edu/catalog/10132322,Victor Vreuls,,Operas,1925,"Brussels, Brabant, Belgium",Brussels,Brabant,Belgium
Der Sturm,http://operadata.stanford.edu/catalog/10108872,Adam Josef Emmert,,Operas,1806,"Salzburg, Salzburg, Austria",Salzburg,Salzburg,Austria
Der Sturm,http://operadata.stanford.edu/catalog/10110428,Ernst Frank,Joseph Victor Widmann,Operas,1887,"Hanover, Niedersachsen, Germany",Hanover,Niedersachsen,Germany
Der Sturm,http://operadata.stanford.edu/catalog/10119465,Frank Martin,Frank Martin,Operas,1956,"Vienna,  Austria",Vienna,,Austria
Der Sturm,http://operadata.stanford.edu/catalog/10131535,Anton Urspruch,Emil Pirazzi,Operas,1888,"Frankfurt, Hessen, Germany",Frankfurt,Hessen,Germany
Der Sturm,http://operadata.stanford.edu/catalog/10133048,Peter Winter,Franz Xaver Kaspar,Operas,1798,"Munich, Bayern, Germany",Munich,Bayern,Germany
"Der Sturm, oder Die bezauberte Insel",http://operadata.stanford.edu/catalog/10121611,Wenzel Müller,Karl Friedrich Hensler,Operas,1798,"Vienna,  Austria",Vienna,,Austria
Telmah,http://operadata.stanford.edu/catalog/10103940,Darijan Bozic,Robert Bolt,Operas,1990,"Opatija, Primorje-Gorski, Croatia",Opatija,Primorje-Gorski,Croatia
La tempestа,http://operadata.stanford.edu/catalog/10100810,Arturo de Angelis,Angelo Sodini,Operas,1905,"Perugia, Umbria, Italy",Perugia,Umbria,Italy
The Tempest,http://operadata.stanford.edu/catalog/10103932,William Boyce,David Garrick,Operas,1757,"London, Greater London, United Kingdom",London,Greater London,United Kingdom
La tempestа,http://operadata.stanford.edu/catalog/10105165,Luigi Caruso,,Operas,1798,"Naples, Campagnia, Italy",Naples,Campagnia,Italy
The Tempest,http://operadata.stanford.edu/catalog/10108639,John Charles Eaton,Andrew Porter,Operas,1985,"Santa Fe, New Mexico, United States",Santa Fe,New Mexico,United States
La tempestа,http://operadata.stanford.edu/catalog/10109182,Vincenzo Fabrizi,Michele Mallio,Operas,1788,"Rome, Lazio, Italy",Rome,Lazio,Italy
The Tempest,http://operadata.stanford.edu/catalog/10111253,Nicholas Comyn Gatty,Reginald Gatty,Operas,1920,"London, Greater London, United Kingdom",London,Greater London,United Kingdom
La tempestа,http://operadata.stanford.edu/catalog/10113399,Fromental Halévy,Pietro Giannone,Operas,1850,"London, Greater London, United Kingdom",London,Greater London,United Kingdom
The Tempest,http://operadata.stanford.edu/catalog/10114451,Lee Hoiby,Mark Shulgasser,Operas,1986,"Indianola, Iowa, United States",Indianola,Iowa,United States
La tempestа,http://operadata.stanford.edu/catalog/10117415,Felice Lattuada,Arturo Rossato,Operas,1922,"Milan, Lombardia, Italy",Milan,Lombardia,Italy
The Tempest,http://operadata.stanford.edu/catalog/10129301,John Christopher Smith,David Garrick,Operas,1756,"London, Greater London, United Kingdom",London,Greater London,United Kingdom
The Tempest,http://operadata.stanford.edu/catalog/10132864,Peter Westergaard,Peter Westergaard,Operas,1994,"Lawrenceville, New Jersey, United States",Lawrenceville,New Jersey,United States
Timón de Atenas,http://operadata.stanford.edu/catalog/10108533,Jacobo Durán-Loriga,Luís Carandell,Operas,1992,"Madrid, Madrid, Spain",Madrid,Madrid,Spain
Timon of Athens,http://operadata.stanford.edu/catalog/10122489,Stephen Oliver,Stephen Oliver,Operas,1991,"London, Greater London, United Kingdom",London,Greater London,United Kingdom
"Titania, oder Liebe durch Zauberei",http://operadata.stanford.edu/catalog/10112823,Georg Christoph Grosheim,Oberst von Weber,Operas,1792,"Kassel, Hessen, Germany",Kassel,Hessen,Germany
"Tout pour l'amour, ou Roméo et Juliette",http://operadata.stanford.edu/catalog/10107016,Nicolas-Marie Dalayrac,Jacques-Marie Boutet de Monvel,Operas,1792,"Paris,  France",Paris,,France
Troilus and Cressida,http://operadata.stanford.edu/catalog/10132506,William Walton,Christopher Hassall,Operas,1954,"London, Greater London, United Kingdom",London,Greater London,United Kingdom
Troilus und Cressida,http://operadata.stanford.edu/catalog/10133648,Winfried Zillig,Winfried Zillig,Operas,1951,"Düsseldorf, Nordrhein-Westfallen, Germany",Düsseldorf,Nordrhein-Westfallen,Germany
Twelfth Night,http://operadata.stanford.edu/catalog/10100649,David Amram,Joseph Papp,Operas,1968,"Glen Falls, New York, United States",Glen Falls,New York,United States
